id,location_id,description,priority_level,budget_required,estimated_duration_hrs,status
REQ-UG-120,LOC-UG-026,Internet outage at Botanical Gardens.,3,5300.0,1.0,PENDING
REQ-UG-121,LOC-UG-174,Overflowing refuse container at Sports Stadium - West Wing.,3,4200.0,15.0,COMPLETED
REQ-UG-122,LOC-UG-027,Roof leak at ICT Directorate.,3,2800.0,9.0,IN_PROGRESS
REQ-UG-123,LOC-UG-032,Air conditioner malfunction at Okponglo Gate - Block B.,3,2900.0,6.0,IN_PROGRESS
REQ-UG-124,LOC-UG-062,Broken door lock at Okponglo Gate - Block C.,2,4800.0,1.0,IN_PROGRESS
REQ-UG-125,LOC-UG-184,Ceiling repair at Great Hall - North Wing.,2,5600.0,2.0,PENDING
REQ-UG-126,LOC-UG-057,Power outage at ICT Directorate - Block B.,4,6000.0,12.0,COMPLETED
REQ-UG-127,LOC-UG-036,Broken door lock at Department of Computer Science - Block B.,3,1100.0,13.0,PENDING
REQ-UG-128,LOC-UG-161,Power outage at University Hospital - West Wing.,3,2600.0,11.0,PENDING
REQ-UG-129,LOC-UG-123,Power outage at Balme Library - East Wing.,4,2800.0,5.0,IN_PROGRESS
REQ-UG-130,LOC-UG-057,Overflowing refuse container at ICT Directorate - Block B.,2,1600.0,15.0,COMPLETED
REQ-UG-131,LOC-UG-038,Roof leak at School of Law - Block B.,2,2200.0,14.0,IN_PROGRESS
REQ-UG-132,LOC-UG-064,Internet outage at Great Hall - Block C.,2,2200.0,10.0,IN_PROGRESS
REQ-UG-133,LOC-UG-043,Broken streetlight at Legon Hall - Block B.,3,1100.0,11.0,IN_PROGRESS
REQ-UG-134,LOC-UG-124,Power outage at Great Hall - East Wing.,2,3700.0,2.0,COMPLETED
REQ-UG-135,LOC-UG-172,Ceiling repair at Night Market - West Wing.,2,4000.0,16.0,IN_PROGRESS
REQ-UG-136,LOC-UG-031,Broken streetlight at Main Gate - Block B.,2,2800.0,14.0,IN_PROGRESS
REQ-UG-137,LOC-UG-062,Ceiling repair at Okponglo Gate - Block C.,2,1100.0,13.0,IN_PROGRESS
REQ-UG-138,LOC-UG-107,Ceiling repair at Jean Nelson Aka Hall - Annex.,2,800.0,10.0,PENDING
REQ-UG-139,LOC-UG-164,Water leakage at Akuafo Hall - West Wing.,3,5600.0,11.0,COMPLETED
REQ-UG-140,LOC-UG-036,Roof leak at Department of Computer Science - Block B.,2,5500.0,10.0,PENDING
REQ-UG-141,LOC-UG-093,Damaged pavement at Balme Library - Annex.,2,3100.0,7.0,IN_PROGRESS
REQ-UG-142,LOC-UG-147,Internet outage at ICT Directorate - East Wing.,2,5800.0,6.0,COMPLETED
REQ-UG-143,LOC-UG-198,Blocked drain at Hilla Limann Hall - North Wing.,4,1600.0,7.0,COMPLETED
REQ-UG-144,LOC-UG-021,Pipe burst at Bush Canteen.,2,4300.0,16.0,IN_PROGRESS
REQ-UG-145,LOC-UG-045,Blocked drain at Volta Hall - Block B.,2,4400.0,7.0,COMPLETED
REQ-UG-146,LOC-UG-079,Blocked drain at Elizabeth Sey Hall - Block C.,2,900.0,14.0,COMPLETED
REQ-UG-147,LOC-UG-015,Faulty projector at Volta Hall.,3,2600.0,10.0,COMPLETED
REQ-UG-148,LOC-UG-127,Power outage at School of Engineering Sciences - East Wing.,2,3100.0,16.0,PENDING
REQ-UG-149,LOC-UG-171,Broken streetlight at Bush Canteen - West Wing.,2,1600.0,12.0,PENDING
REQ-UG-150,LOC-UG-042,Overflowing refuse container at Commonwealth Hall - Block B.,3,4100.0,1.0,IN_PROGRESS
REQ-UG-151,LOC-UG-134,Ceiling repair at Akuafo Hall - East Wing.,3,3800.0,3.0,PENDING
REQ-UG-152,LOC-UG-092,Overflowing refuse container at Okponglo Gate - Annex.,2,5700.0,11.0,COMPLETED
REQ-UG-153,LOC-UG-098,Elevator maintenance at School of Law - Annex.,2,2300.0,4.0,COMPLETED
REQ-UG-154,LOC-UG-127,Roof leak at School of Engineering Sciences - East Wing.,4,600.0,5.0,PENDING
REQ-UG-155,LOC-UG-063,Power outage at Balme Library - Block C.,2,4400.0,6.0,PENDING
REQ-UG-156,LOC-UG-027,Broken streetlight at ICT Directorate.,3,4000.0,1.0,PENDING
REQ-UG-157,LOC-UG-025,Ceiling repair at Athletic Oval.,4,5200.0,7.0,IN_PROGRESS
REQ-UG-158,LOC-UG-005,Pipe burst at University of Ghana Business School.,4,4500.0,15.0,COMPLETED
REQ-UG-159,LOC-UG-062,Overflowing refuse container at Okponglo Gate - Block C.,3,1100.0,12.0,PENDING
REQ-UG-160,LOC-UG-184,Internet outage at Great Hall - North Wing.,2,2200.0,4.0,IN_PROGRESS
REQ-UG-161,LOC-UG-127,Elevator maintenance at School of Engineering Sciences - East Wing.,4,5300.0,9.0,PENDING
REQ-UG-162,LOC-UG-032,Power outage at Okponglo Gate - Block B.,3,1300.0,8.0,PENDING
REQ-UG-163,LOC-UG-038,Generator servicing at School of Law - Block B.,4,3400.0,13.0,PENDING
REQ-UG-164,LOC-UG-005,Generator servicing at University of Ghana Business School.,3,4900.0,14.0,COMPLETED
REQ-UG-165,LOC-UG-155,Faulty projector at University of Ghana Business School - West Wing.,2,3000.0,2.0,IN_PROGRESS
REQ-UG-166,LOC-UG-087,Damaged pavement at ICT Directorate - Block C.,2,5800.0,11.0,COMPLETED
REQ-UG-167,LOC-UG-112,Pipe burst at Night Market - Annex.,4,5600.0,11.0,IN_PROGRESS
REQ-UG-168,LOC-UG-144,Water leakage at Sports Stadium - East Wing.,3,3800.0,5.0,COMPLETED
REQ-UG-169,LOC-UG-091,Blocked drain at Main Gate - Annex.,3,4700.0,1.0,IN_PROGRESS
REQ-UG-170,LOC-UG-028,Faulty projector at Physical Development & Municipal Services Directorate.,2,900.0,11.0,IN_PROGRESS
REQ-UG-171,LOC-UG-052,Faulty projector at Night Market - Block B.,4,600.0,8.0,PENDING
REQ-UG-172,LOC-UG-108,Damaged pavement at Hilla Limann Hall - Annex.,3,4500.0,2.0,PENDING
REQ-UG-173,LOC-UG-009,Pipe burst at School of Public Health.,4,4400.0,9.0,COMPLETED
REQ-UG-174,LOC-UG-160,Broken streetlight at Noguchi Memorial Institute - West Wing.,4,3900.0,2.0,COMPLETED
REQ-UG-175,LOC-UG-026,Broken streetlight at Botanical Gardens.,2,3800.0,1.0,IN_PROGRESS
REQ-UG-176,LOC-UG-061,Water leakage at Main Gate - Block C.,3,1200.0,10.0,IN_PROGRESS
REQ-UG-177,LOC-UG-166,Internet outage at Mensah Sarbah Hall - West Wing.,2,800.0,9.0,PENDING
REQ-UG-178,LOC-UG-120,Elevator maintenance at Department of Geography - Annex.,4,1400.0,15.0,PENDING
REQ-UG-179,LOC-UG-131,Internet outage at University Hospital - East Wing.,3,3100.0,10.0,IN_PROGRESS
REQ-UG-180,LOC-UG-063,Overflowing refuse container at Balme Library - Block C.,2,5200.0,10.0,IN_PROGRESS
REQ-UG-181,LOC-UG-157,Overflowing refuse container at School of Engineering Sciences - West Wing.,4,1900.0,13.0,PENDING
REQ-UG-182,LOC-UG-141,Overflowing refuse container at Bush Canteen - East Wing.,3,3400.0,10.0,COMPLETED
REQ-UG-183,LOC-UG-123,Roof leak at Balme Library - East Wing.,3,600.0,8.0,IN_PROGRESS
REQ-UG-184,LOC-UG-057,Blocked drain at ICT Directorate - Block B.,4,3900.0,13.0,COMPLETED
REQ-UG-185,LOC-UG-102,Water leakage at Commonwealth Hall - Annex.,3,1500.0,8.0,IN_PROGRESS
REQ-UG-186,LOC-UG-143,Air conditioner malfunction at Banking Square - East Wing.,3,2200.0,10.0,PENDING
REQ-UG-187,LOC-UG-076,Water leakage at Mensah Sarbah Hall - Block C.,2,1500.0,3.0,COMPLETED
REQ-UG-188,LOC-UG-090,Roof leak at Department of Geography - Block C.,4,800.0,13.0,IN_PROGRESS
REQ-UG-189,LOC-UG-091,Overflowing refuse container at Main Gate - Annex.,2,3800.0,8.0,COMPLETED
REQ-UG-190,LOC-UG-190,Ceiling repair at Noguchi Memorial Institute - North Wing.,2,3100.0,11.0,COMPLETED
REQ-UG-191,LOC-UG-091,Internet outage at Main Gate - Annex.,4,1700.0,9.0,COMPLETED
REQ-UG-192,LOC-UG-025,Overflowing refuse container at Athletic Oval.,4,5300.0,16.0,IN_PROGRESS
REQ-UG-193,LOC-UG-162,Overflowing refuse container at Commonwealth Hall - West Wing.,4,5000.0,5.0,IN_PROGRESS
REQ-UG-194,LOC-UG-027,Water leakage at ICT Directorate.,3,5400.0,4.0,IN_PROGRESS
REQ-UG-195,LOC-UG-102,Elevator maintenance at Commonwealth Hall - Annex.,2,3100.0,9.0,COMPLETED
REQ-UG-196,LOC-UG-156,Power outage at Department of Computer Science - West Wing.,3,5900.0,15.0,COMPLETED
REQ-UG-197,LOC-UG-118,Broken streetlight at Physical Development & Municipal Services Directorate - Annex.,4,2700.0,10.0,IN_PROGRESS
REQ-UG-198,LOC-UG-101,Faulty projector at University Hospital - Annex.,4,4300.0,13.0,COMPLETED
REQ-UG-199,LOC-UG-083,Water leakage at Banking Square - Block C.,4,5900.0,16.0,IN_PROGRESS
REQ-UG-200,LOC-UG-114,Broken streetlight at Sports Stadium - Annex.,2,3900.0,10.0,PENDING
